date,barge_tonnes,rail_tonnes,road_tonnes,kaub_w_min_cm,kaub_days_below80_pct,total_demand_tonnes
2016-12-01,7188898,4335758,3573000,61.0,41.9,15097656
2017-01-01,7403664,4314332,3377000,50.0,86.5,15094996
2017-02-01,8478039,4768196,3292000,61.0,4.0,16538235
2017-03-01,9502007,4885755,4712000,161.0,0.0,19099762
2017-04-01,8157213,3865098,3701000,103.0,0.0,15723311
2017-05-01,9361531,4431888,4413000,162.0,0.0,18206419
2017-06-01,8582969,4130520,3616000,133.0,0.0,16329489
2017-07-01,8388458,4333446,3505000,118.0,0.0,16226904
2017-08-01,8233143,3942259,3824000,124.0,0.0,15999402
2017-09-01,8039191,4021668,3484000,124.0,0.0,15544859
2017-10-01,8372453,4172470,3615000,113.0,0.0,16159923
2017-11-01,8762344,4323974,3910000,118.0,0.0,16996318
2017-12-01,8187286,3466005,2780000,204.0,0.0,14433291
2018-01-01,7820097,4196947,3546000,320.0,0.0,15563044
2018-02-01,7943170,3911702,3430000,202.0,0.0,15284872
2018-03-01,9009304,4339759,3515000,174.0,0.0,16864063
2018-04-01,8279319,4161097,4104000,196.0,0.0,16544416
2018-05-01,8157947,4035489,3147000,181.0,0.0,15340436
2018-06-01,7589297,4212882,3956000,141.0,0.0,15758179
2018-07-01,7638518,4181792,3652000,80.0,0.0,15472310
2018-08-01,6791433,4022651,3736000,54.0,96.7,14550084
2018-09-01,6840267,4043862,3366000,59.0,52.2,14250129
2018-10-01,6280663,4653309,3689000,24.0,100.0,14622972
2018-11-01,6126446,4612812,4079000,27.0,100.0,14818258
2018-12-01,7699627,3990429,2566000,33.0,9.4,14256056
2019-01-01,9006139,4848443,2903000,152.0,0.0,16757582
2019-02-01,8211755,4720786,3607000,142.0,0.0,16539541
2019-03-01,8009801,5088035,3663000,142.0,0.0,16760836
2019-04-01,7245345,4650482,3752000,126.0,0.0,15647827
2019-05-01,7871397,4894833,3892000,154.0,0.0,16658230
2019-06-01,7499468,4434795,2957000,233.0,0.0,14891263
2019-07-01,7331037,4728214,3448000,129.0,0.0,15507251
2019-08-01,7313239,4223780,2922000,140.0,0.0,14459019
2019-09-01,6730953,4478814,3154000,98.0,0.0,14363767
2019-10-01,7225404,4838450,3716000,108.0,0.0,15779854
2019-11-01,6949436,4409937,3478000,123.0,0.0,14837373
2019-12-01,7079691,3781504,2687000,153.0,0.0,13548195
2020-01-01,6837099,4333163,2674000,106.0,0.0,13844262
2020-02-01,6485123,4452393,2767000,167.0,0.0,13704516
2020-03-01,7354356,4775605,3378000,177.0,0.0,15507961
2020-04-01,6391460,3800750,2489000,111.0,0.0,12681210
